# # Wavelength Mean_Albedo Std_Albedo
4.000000000000000000e+02	8.520650949410121799e-02	2.686584605566312567e-02
4.100000000000000000e+02	9.067165627913630066e-02	2.838153067027708240e-02
4.200000000000000000e+02	9.676143614818220884e-02	2.995199890453426050e-02
4.300000000000000000e+02	1.034354657485433288e-01	3.144431571100746864e-02
4.400000000000000000e+02	1.101734533776407704e-01	3.290563724701787984e-02
4.500000000000000000e+02	1.152385996929977258e-01	3.408636371974926166e-02
4.600000000000000000e+02	1.187138059800085799e-01	3.492666416440937116e-02
4.700000000000000000e+02	1.217741764369218299e-01	3.578154121681594024e-02
4.800000000000000000e+02	1.259411815586297390e-01	3.670483989109511042e-02
4.900000000000000000e+02	1.320997522188269435e-01	3.779045495541003691e-02
5.000000000000000000e+02	1.396713485925094034e-01	3.904971820872255028e-02
5.100000000000000000e+02	1.484878833527150388e-01	4.051254576137276048e-02
5.200000000000000000e+02	1.584294798192770470e-01	4.207690700832130565e-02
5.300000000000000000e+02	1.697849482686623335e-01	4.346602708148591954e-02
5.400000000000000000e+02	1.828266660674758570e-01	4.449045432913019404e-02
5.500000000000000000e+02	1.980273621237796378e-01	4.536954512118660660e-02
5.600000000000000000e+02	2.142953270414601208e-01	4.588827307860319366e-02
5.700000000000000000e+02	2.305045843772266234e-01	4.612127746319354127e-02
5.800000000000000000e+02	2.452125082067821427e-01	4.624896066695273478e-02
5.900000000000000000e+02	2.575769481192464183e-01	4.641693938642144079e-02
6.000000000000000000e+02	2.671519685828167567e-01	4.633333064374647176e-02
6.100000000000000000e+02	2.741162018413129120e-01	4.604593020995113167e-02
6.200000000000000000e+02	2.795521820628124599e-01	4.555942558682647692e-02
6.300000000000000000e+02	2.846824552442716594e-01	4.513839152751277645e-02
6.400000000000000000e+02	2.892123308648233970e-01	4.460582510669110906e-02
6.500000000000000000e+02	2.928952921473461646e-01	4.394422178541004115e-02
6.600000000000000000e+02	2.956111657101175294e-01	4.322034891121997319e-02
6.700000000000000000e+02	2.992276195857835885e-01	4.271730961989096687e-02
6.800000000000000000e+02	3.050778148744417440e-01	4.271925023404512384e-02
6.900000000000000000e+02	3.157519635169402372e-01	4.400902118312707140e-02
7.000000000000000000e+02	3.286484227232310817e-01	4.672958508360867957e-02
7.100000000000000000e+02	3.412172518864922122e-01	4.923048260788047414e-02
7.200000000000000000e+02	3.535123809265053874e-01	5.069490623721550904e-02
7.300000000000000000e+02	3.629511738600938453e-01	5.117567864185111615e-02
7.400000000000000000e+02	3.675729262828826838e-01	5.102083199299359967e-02
7.500000000000000000e+02	3.668804221049599135e-01	5.038766399563523318e-02
7.600000000000000000e+02	3.633596878207248082e-01	4.939525098646432161e-02
7.700000000000000000e+02	3.606997275093327127e-01	4.836335672017056525e-02
7.800000000000000000e+02	3.592833726820738316e-01	4.746423360398943636e-02
7.900000000000000000e+02	3.579587822375090433e-01	4.652981070653543910e-02
8.000000000000000000e+02	3.556832619335340562e-01	4.547577665623410426e-02
8.100000000000000000e+02	3.531220261946968475e-01	4.431330307905034793e-02
8.200000000000000000e+02	3.505036639389784714e-01	4.313914176270605694e-02
8.300000000000000000e+02	3.473862970393636895e-01	4.192886041768863897e-02
8.400000000000000000e+02	3.450281400784201979e-01	4.088269035128820617e-02
8.500000000000000000e+02	3.432964694499969216e-01	3.999229158031532977e-02
8.600000000000000000e+02	3.420847494705863689e-01	3.923727204258329465e-02
8.700000000000000000e+02	3.413785105425378719e-01	3.860779823587588699e-02
8.800000000000000000e+02	3.401605522373448154e-01	3.792202581828975350e-02
8.900000000000000000e+02	3.385440665483474554e-01	3.723236270064352038e-02
9.000000000000000000e+02	3.368700445475785732e-01	3.660437049519512515e-02
9.100000000000000000e+02	3.351050114890803400e-01	3.600463018316617247e-02
9.200000000000000000e+02	3.330564386948295375e-01	3.544196011901769999e-02
9.300000000000000000e+02	3.300151122134664661e-01	3.479411819866452815e-02
9.400000000000000000e+02	3.268139948274778050e-01	3.420865370035872793e-02
9.500000000000000000e+02	3.232073187828063965e-01	3.365036711194780567e-02
9.600000000000000000e+02	3.213803257372068178e-01	3.330137873879059074e-02
9.700000000000000000e+02	3.225274739317272044e-01	3.328010863140717229e-02
9.800000000000000000e+02	3.255054081263749621e-01	3.349514237360098207e-02
9.900000000000000000e+02	3.299292792962945087e-01	3.394001419805277309e-02
1.000000000000000000e+03	3.343264118225678372e-01	3.442454275629332899e-02
1.010000000000000000e+03	3.388064980766047340e-01	3.491626342372694536e-02
1.020000000000000000e+03	3.429466529773629313e-01	3.539714027058117607e-02
1.030000000000000000e+03	3.457787685290626967e-01	3.575268912226207269e-02
1.040000000000000000e+03	3.471294205085090900e-01	3.597568706184105236e-02
1.050000000000000000e+03	3.464160665480987000e-01	3.598956103758139957e-02
1.060000000000000000e+03	3.462498285977737011e-01	3.608915480374444429e-02
1.070000000000000000e+03	3.464822510273560252e-01	3.626372625052216858e-02
1.080000000000000000e+03	3.462257912366286661e-01	3.641586972581110221e-02
1.090000000000000000e+03	3.448647082629411331e-01	3.641705630991647069e-02
1.100000000000000000e+03	3.449707671352054694e-01	3.645979548484423738e-02
1.110000000000000000e+03	3.445911098304001996e-01	3.656510160634306172e-02
1.120000000000000000e+03	3.440335971117019498e-01	3.666927507496276634e-02
1.130000000000000000e+03	3.416467157654140552e-01	3.652499873930210861e-02
1.140000000000000000e+03	3.384723770100137585e-01	3.630863067039728775e-02
1.150000000000000000e+03	3.384062186272248085e-01	3.636495494159219105e-02
1.160000000000000000e+03	3.419409654710603985e-01	3.673218752082389738e-02
